,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
659,Unfurnished,Bachelors,1500,Apartment,3,Tellapur,2,Super Area,West,2,Garden/Park,Immediately,3,20000.0,0
660,Unfurnished,Bachelors,1400,House,2,Moti Nagar,0,Carpet Area,East,2,Main Road,Immediately,2,16000.0,0
661,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Toli Chowki,2,Carpet Area,Unknown,1,Unknown,Immediately,2,40000.0,0
662,Semi-Furnished,Bachelors,600,House,2,Chintal,0,Carpet Area,Unknown,0,Main Road,Immediately,2,10000.0,0
663,Semi-Furnished,Family,1400,Apartment,3,Gachibowli,1,Carpet Area,East,1,Unknown,Immediately,3,35000.0,2
664,Semi-Furnished,Bachelors/Family,900,Apartment,1,Nallagandla,3,Carpet Area,North-East,1,Main Road,Immediately,1,13000.0,1
665,Semi-Furnished,Family,1000,House,2,Manovikas Nagar,0,Carpet Area,North,3,Unknown,Immediately,2,10000.0,1
666,Semi-Furnished,Bachelors/Family,1000,House,2,Chanda Nagar,1,Carpet Area,East,1,Main Road,Immediately,2,14000.0,1
667,Furnished,Bachelors/Family,1581,Apartment,3,Gachibowli,2,Carpet Area,East,2,Unknown,Immediately,3,30000.0,0
668,Unfurnished,Bachelors,2150,Apartment,3,Madhapur,11,Carpet Area,West,5,Garden/Park,Immediately,3,50000.0,0
669,Semi-Furnished,Bachelors/Family,1900,Apartment,3,Hafeezpet,2,Carpet Area,West,4,Garden/Park,Immediately,3,30000.0,1
670,Semi-Furnished,Bachelors/Family,900,House,2,Secunderabad,1,Carpet Area,North,0,Unknown,Immediately,2,15000.0,1
671,Semi-Furnished,Bachelors/Family,750,Apartment,2,Nizampet,3,Carpet Area,South,1,Main Road,Immediately,1,12000.0,0
672,Unfurnished,Bachelors/Family,900,Apartment,2,Sree Prabhupada Township,2,Carpet Area,East,2,Main Road,Immediately,2,16000.0,0
673,Semi-Furnished,Family,1380,Apartment,3,Kokapet,8,Carpet Area,West,3,Garden/Park,Immediately,2,32500.0,2
674,Semi-Furnished,Bachelors/Family,1010,Apartment,2,Lingampally-Serilingampally,2,Carpet Area,East,1,Garden/Park,Immediately,2,15000.0,5
675,Furnished,Bachelors/Family,1600,Apartment,3,RTC Colony-Chandanagar,3,Super Area,Unknown,2,Unknown,Immediately,3,27000.0,1
676,Unfurnished,Bachelors,1100,Penthouse,2,Nagole,2,Super Area,Unknown,1,Garden/Park,Immediately,2,14500.0,0
677,Unfurnished,Bachelors,1587,Apartment,3,Hafeezpet,5,Super Area,East,0,Garden/Park,Immediately,3,19500.0,1
678,Unfurnished,Bachelors/Family,270,House,4,Attapur,1,Super Area,East,2,Unknown,Immediately,3,28000.0,0
679,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Nagole,3,Carpet Area,West,1,Unknown,From Mar '22,2,13500.0,1
680,Unfurnished,Bachelors/Family,3000,Apartment,3,Jubilee Hills,1,Super Area,Unknown,0,Unknown,Immediately,4,95000.0,0
681,Semi-Furnished,Bachelors/Family,1170,Apartment,2,East Marredpally,5,Super Area,Unknown,0,Unknown,Immediately,2,25000.0,0
682,Semi-Furnished,Family,1365,Apartment,3,Bolarum,5,Super Area,East,2,Unknown,Immediately,2,15000.0,1
683,Semi-Furnished,Bachelors/Family,1342,Apartment,3,Pragathi Nagar,3,Carpet Area,Unknown,1,Unknown,Immediately,2,16000.0,0
684,Semi-Furnished,Bachelors,1100,Apartment,3,Narsingi,8,Carpet Area,West,1,Main Road,Immediately,3,30000.0,0
685,Semi-Furnished,Bachelors/Family,2500,Apartment,3,Nandagiri Hills,2,Carpet Area,North-East,2,Garden/Park,Immediately,3,65000.0,2
686,Semi-Furnished,Bachelors,1750,Apartment,3,Banjara Hills,1,Carpet Area,North,2,Main Road,Immediately,3,32000.0,0
687,Furnished,Bachelors/Family,1903,Apartment,3,Gachibowli,23,Carpet Area,North,2,Garden/Park,From Feb '22,3,55000.0,2
688,Semi-Furnished,Family,4000,House,3,Attapur,0,Super Area,North-East,0,Main Road,Immediately,2,23000.0,0
689,Semi-Furnished,Bachelors/Family,1200,Apartment,3,Financial District,2,Carpet Area,West,2,Garden/Park,Immediately,2,20000.0,1
690,Furnished,Bachelors/Family,1177,Apartment,3,Raj Bhawan Road,3,Carpet Area,West,3,Garden/Park,Immediately,2,27000.0,1
691,Unfurnished,Family,3800,Villa,4,Nizampet,0,Carpet Area,North,1,Main Road,Immediately,3,60000.0,2
692,Unfurnished,Bachelors,1100,Apartment,2,Chandanagar,3,Carpet Area,West,2,Garden/Park,Immediately,2,15000.0,0
693,Unfurnished,Bachelors/Family,1250,Apartment,2,Padmanabha Nagar,2,Carpet Area,West,2,Garden/Park,From Mar '22,2,20000.0,0
694,Semi-Furnished,Bachelors,140,Villa,2,Sangareddy District,0,Carpet Area,West,1,Unknown,Immediately,2,9300.0,0
695,Semi-Furnished,Bachelors/Family,1755,Apartment,3,Gachibowli,8,Carpet Area,East,2,Unknown,Immediately,3,43000.0,2
696,Semi-Furnished,Bachelors,6500,Villa,5,Jubilee Hills,0,Carpet Area,North,3,Main Road,Immediately,6,300000.0,0
697,Unfurnished,Bachelors/Family,1088,Apartment,2,Moula Ali,1,Super Area,Unknown,1,Unknown,Immediately,2,9500.0,0
698,Unfurnished,Bachelors,1356,Apartment,3,Manikonda,3,Carpet Area,West,2,Unknown,Immediately,2,15000.0,0
699,Semi-Furnished,Bachelors/Family,1165,Apartment,2,Miyapur,0,Carpet Area,Unknown,1,Unknown,Immediately,2,17000.0,0
700,Unfurnished,Bachelors/Family,1100,Apartment,2,Kondapur,4,Carpet Area,Unknown,2,Unknown,Immediately,2,20000.0,0
