,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
826,Unfurnished,Family,1200,House,2,Venkatraya Nagar,1,Carpet Area,East,2,Garden/Park,Immediately,2,12500.0,0
827,Semi-Furnished,Family,1300,Apartment,3,Sanath Nagar,15,Carpet Area,West,1,Garden/Park,Immediately,3,45000.0,2
828,Unfurnished,Family,1520,Apartment,3,Attapur,4,Super Area,East,2,Main Road,Immediately,3,16000.0,0
829,Semi-Furnished,Family,0,Apartment,2,Prakash Nagar,2,Super Area,East,2,Main Road,Immediately,2,20000.0,1
830,Unfurnished,Bachelors,1155,Apartment,2,Mallampet,1,Carpet Area,West,2,Main Road,Immediately,2,11000.0,0
831,Semi-Furnished,Family,1050,Apartment,2,Neknampur,5,Carpet Area,Unknown,1,Unknown,Immediately,2,13000.0,1
832,Furnished,Bachelors/Family,1560,Apartment,3,Gachibowli,5,Carpet Area,East,2,Unknown,Immediately,2,50000.0,0
833,Unfurnished,Bachelors/Family,1000,Apartment,2,Chanda Nagar,2,Carpet Area,East,1,Main Road,Immediately,2,14000.0,0
834,Semi-Furnished,Bachelors/Family,2150,Apartment,3,Nallagandla,17,Super Area,West,0,Unknown,From Mar '22,3,40000.0,2
835,Semi-Furnished,Bachelors/Family,1425,Apartment,3,Miyapur,1,Carpet Area,Unknown,2,Unknown,Immediately,3,14000.0,0
836,Unfurnished,Bachelors,1050,House,2,Suchitra Circle,1,Carpet Area,East,1,Main Road,Immediately,2,14000.0,0
837,Unknown,Bachelors/Family,0,Unknown,0,Pocharam,0,Super Area,Unknown,0,Unknown,Immediately,0,11000.0,0
838,Furnished,Bachelors/Family,2502,Villa,3,Appa junction,0,Carpet Area,West,2,Unknown,Immediately,3,32000.0,2
839,Semi-Furnished,Bachelors/Family,800,Apartment,1,Pragathi Nagar,3,Carpet Area,Unknown,2,Unknown,Immediately,1,9000.0,0
840,Semi-Furnished,Bachelors,1150,Apartment,2,Bachupally,4,Carpet Area,North,2,Unknown,Immediately,2,9000.0,0
841,Unfurnished,Bachelors/Family,1000,Apartment,2,Madinaguda,5,Carpet Area,West,2,Garden/Park,Immediately,2,13500.0,0
842,Unfurnished,Bachelors,1400,Apartment,3,Mehdipatnam,4,Carpet Area,West,2,Main Road,Immediately,3,20000.0,0
843,Semi-Furnished,Family,1250,Apartment,2,Jaya Nagar,2,Carpet Area,North,2,Main Road,Immediately,2,15000.0,1
844,Semi-Furnished,Bachelors,1100,Apartment,3,Gachibowli,3,Carpet Area,East,1,Pool,Immediately,3,26000.0,0
845,Unfurnished,Bachelors/Family,1270,Apartment,2,SD Road,3,Super Area,Unknown,0,Unknown,Immediately,2,17000.0,0
846,Unfurnished,Bachelors,900,Apartment,2,RTC Colony-Chandanagar,4,Super Area,East,1,Unknown,Immediately,2,9000.0,0
847,Unfurnished,Bachelors,1100,Apartment,2,Musheerabad,4,Carpet Area,West,2,Unknown,Immediately,2,16000.0,0
848,Furnished,Bachelors,1260,Apartment,3,Mallareddy Nagar,2,Carpet Area,East,2,Main Road,Immediately,3,20000.0,0
849,Unfurnished,Bachelors/Family,1300,Apartment,2,Brindavan Colony-Toli Chowki,3,Carpet Area,Unknown,2,Garden/Park,Immediately,2,11000.0,3
850,Semi-Furnished,Bachelors/Family,1870,Apartment,3,Serilingampally,3,Super Area,East,2,Unknown,Immediately,3,28000.0,0
851,Unfurnished,Bachelors,300,House,1,Narsingi,0,Carpet Area,East,1,Main Road,Immediately,2,16000.0,0
852,Semi-Furnished,Bachelors/Family,2020,Apartment,3,Gachibowli,5,Carpet Area,Unknown,2,Unknown,Immediately,3,45000.0,0
853,Unfurnished,Bachelors,1800,Apartment,3,VASAVI GRANDE VISTA,5,Carpet Area,West,1,Garden/Park,Immediately,3,30000.0,0
854,Unfurnished,Bachelors,1200,House,2,Osman Nagar,1,Carpet Area,West,1,Unknown,Immediately,2,14000.0,0
855,Furnished,Family,1798,Villa,3,Kompally,0,Super Area,East,0,Unknown,Immediately,3,27000.0,1
856,Unfurnished,Bachelors/Family,3000,Villa,3,Tellapur,0,Carpet Area,Unknown,1,Unknown,Immediately,4,35000.0,0
857,Furnished,Bachelors/Family,4900,Villa,4,Kokapet,0,Super Area,North,2,Garden/Park,Immediately,4,180000.0,2
858,Unfurnished,Bachelors,1100,House,2,Ameenpur,0,Carpet Area,East,0,Main Road,Immediately,2,10000.0,0
859,Semi-Furnished,Bachelors/Family,700,Villa,1,Sai Anurag Colony,0,Carpet Area,East,0,Main Road,Immediately,1,8500.0,1
860,Semi-Furnished,Bachelors,900,Apartment,2,Narsingi,5,Carpet Area,West,1,Main Road,Immediately,2,18500.0,1
861,Semi-Furnished,Bachelors/Family,1390,Apartment,3,Hafeezpet,5,Carpet Area,East,2,Garden/Park,Immediately,2,24000.0,2
862,Semi-Furnished,Bachelors,800,Apartment,2,Shanti Sikhara Apartments. Somajiguda,4,Carpet Area,Unknown,1,Main Road,Immediately,2,18000.0,0
863,Semi-Furnished,Bachelors/Family,950,Apartment,2,Kukatpally,4,Carpet Area,East,1,Main Road,Immediately,2,15000.0,1
864,Unfurnished,Bachelors/Family,1100,Apartment,2,Moghal Nagar,1,Carpet Area,East,1,Unknown,Immediately,2,12000.0,0
865,Unfurnished,Family,1100,Apartment,2,Friends Colony,2,Carpet Area,East,1,Main Road,Immediately,2,15000.0,1
866,Unfurnished,Bachelors,650,Apartment,1,Somajiguda,1,Carpet Area,South,0,Main Road,Immediately,1,10000.0,0
867,Furnished,Bachelors,885,Apartment,2,Sun City,4,Carpet Area,North-West,2,Main Road,Immediately,2,15000.0,0
868,Furnished,Bachelors/Family,950,Apartment,2,Serilingampally,5,Carpet Area,East,2,Main Road,Immediately,2,14700.0,1
869,Semi-Furnished,Family,1800,Apartment,3,Raghavendra Colony,5,Carpet Area,East,2,Unknown,Immediately,3,22000.0,1
