,Title,Amenities,Amount
93,4 BHK Apartment for Rent in Hitech City,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking3 CoveredAvailabilityImmediatelyCarpet Area3900 sqftFloor24 out of 33facingEastoverlookingGarden/ParkBathroom5Balcony2,₹1.7 Lac
94,"3 BHK Apartment for Rent in Hafeezpet, NH 9","FurnishingFurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelySuper Area1490 sqftFloor4 out of 10facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony1","₹26,000"
95,2 BHK Apartment for Rent in Gachibowli,FurnishingFurnishedTenant PreferredBachelorsAvailabilityImmediatelySuper Area1283 sqftFloorGround out of 34facingEastoverlookingGarden/ParkOwnershipFreeholdBathroom2Balcony1,"₹40,000"
96,3 BHK Apartment for Rent in Gajularamaram,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityFrom Mar '22Carpet Area1750 sqftFloor1 out of 9Bathroom3Balcony1,"₹17,000"
97,"2 BHK Apartment for Rent in Ameerpet, NH 9",FurnishingFurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1214 sqftFloor5 out of 5facingWestBathroom2Balcony2,"₹25,000"
98,3 BHK Apartment for Rent in Nanakram Guda,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1500 sqftFloor3 out of 12facingWestBathroom3Balcony2,"₹33,000"
99,"3 BHK Apartment for Rent in Chandanagar, NH 9","FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1500 sqftFloor3 out of 3facingEastoverlookingGarden/Park, PoolBathroom3Balcony2","₹23,000"
100,"2 BHK Apartment for Rent in Beeramguda, Ramachandra Puram, NH 9",FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area700 sqftFloor1 out of 5facingNorth - EastBathroom1Balcony1,"₹12,500"
101,"2 BHK Apartment for Rent in Moosapet, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1025 sqftFloor4 out of 5facingSouth - EastBathroom2Balcony1,"₹15,000"
102,2 BHK Apartment for Rent in Sainikpuri,FurnishingFurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1121 sqftFloor4 out of 5facingEastBathroom2Balcony2,"₹30,000"
